Machine_ID,Operating_Hours,Temperature,Vibration_Level,Coolant_Flow,Load_Percentage,Acoustic_Emission,Previous_Failures,Ambient_Humidity,Ambient_Temperature,Maintenance_Needed
1,811.6262258099887,64.03025713278926,1.9273252888430574,12.456263325644867,44.64138784025856,74.09497495784527,2,85.34199355987803,18.48611243355331,0
2,1906.3571821788407,46.09695632530562,2.173698743217381,46.757389724419895,51.832137895046344,77.49504365134791,1,32.9226837406525,28.175099238854926,2
3,1490.7884894416698,65.8777925497553,1.5059985909985296,13.242996645891951,38.14853805253736,80.64381868174216,4,89.458728956572,19.368500640797432,1
4,1237.4511199743695,79.13473732017407,1.9264036246159943,46.5692550537665,61.98293496401434,83.4412047541267,4,42.468763212120464,37.245841803597415,0
5,396.4354168406294,75.3762990294988,1.900468723120065,29.632289978108112,98.90164336037749,85.03441789341123,2,54.52604162394056,35.85464212809565,0
6,396.389588638785,74.28186247810577,2.092413516810827,27.923644511836795,66.02289538664331,74.77141363018836,3,32.70307848994305,23.725801725150383,0
7,210.35886311957898,67.2000669812552,2.166380239318505,48.93228318001506,81.93175178262186,75.24577332770465,2,65.08693218648187,35.77467929987325,0
8,1745.7346769723767,57.209692637802135,2.27991422441403,49.61536710792876,77.80564583895423,78.38368870306255,1,59.0133159240595,28.32969575852737,1
9,1242.1185223120967,75.15294321624468,2.1188213281499797,36.00712503844048,89.49380045644966,83.42246512348449,3,70.00242208408679,18.976273215073526,0
10,1445.3378978124865,61.65718189965375,1.3946286866854178,15.08477167428194,45.100644332592665,73.69996051173872,2,62.56068763748836,30.355296363533093,1
11,139.11053916202465,91.84096733380457,1.5307664471294575,30.2468034262081,82.76783831851198,76.96336544791151,2,53.89066707882414,31.98627793041016,2
12,1942.8287191077893,75.70507208354516,1.7267961902681634,31.1665240382265,91.69486682140246,77.03628135294026,2,74.26540186870025,17.097289461753967,2
13,1681.6410175208014,64.1935169744605,1.8588797040383855,30.57785712541239,42.005687608616995,84.70874427682185,2,31.501267667217466,22.861327260550954,1
14,503.4443102887247,63.88614752611372,2.525387145236057,32.77967354080039,54.276155385160266,82.64130380332219,3,62.46174125247571,15.134599690297973,0
15,445.46743769349115,69.07055793386412,1.4185305065735436,10.748988551775627,97.9071235032093,84.5185918052496,1,36.832572229740556,22.910720083903158,0
16,448.46856872152426,67.60498077978251,1.82129247591465,38.4490912588201,84.65514921858548,86.69338987116527,4,56.16049998515,23.386133322981216,0
17,678.0602616231216,81.16833775529955,2.4765047491070247,38.49577207811952,49.78135827762726,78.4717495245546,2,77.46751901148099,30.75521566947712,1
18,1097.037220101252,71.86416169744047,1.850061262751694,14.618791007115517,69.47592387511409,74.06296922573159,4,38.54764477562401,19.976081991229126,0
19,920.69553542002,62.683682610914715,2.230207824921412,32.809577697832026,58.30282859946351,74.0951819107649,4,86.14862092634911,15.752274668194817,0
20,653.3353663762796,88.90440685155782,1.9302289785360482,32.73444729743098,64.29756234289908,70.8094621747058,4,83.31028154348428,22.890863337332036,1
21,1262.520499972521,70.49308331520223,2.1283916286623614,37.29801680761601,54.86163339734959,77.70616585166904,2,54.89430425200191,35.640488656473096,0
22,365.0383352388795,77.68839675968897,1.8857637280952297,13.415907685403244,49.55317129712384,78.0788869258413,2,30.358490443556192,24.978630138945654,0
23,655.0748322169145,63.91773492555241,2.333532736364177,35.06013229064386,77.23341289739932,83.93776703402524,2,77.38468960046916,25.377344245850495,0
24,796.0875022580142,73.63115627744523,1.2274717962967823,21.230078029853647,84.49792705602823,80.08457108588301,2,82.85374820473697,26.725689071165057,0
